dall,"sheep,Dall's sheep [动]野大白羊(产于北美西北部山区)"
daman,n.[动](=hyrax)蹄兔(产于非洲和中东)
damselfly,"n.[动] 豆娘,蜻蛉"
dassie,n.[动](=hyrax)蹄兔(产于非洲和中东)
dasyure,n.[动]袋鼬(产于澳洲的一种食肉或食虫兽)
dealfish,n.[动]板鱼(大西洋海域的一种鱼)
declinate,"adj.[植][动]下倾的,斜向的,弯下的"
dentalium,"n.[动]角贝属海生软体动物,八角贝,象牙贝"
derma,"n.[解][动]真皮,(一般的)皮肤,烤牛香肠"
desman,n.[动]麝香鼠
deuterostome,n.[动]后口动物
dibatag,n.[动]沙羚(产于非洲东北部)
dibranchiate,n.[动]二鳃目adj.[动]二鳃目的
dieb,n.[动]胡狼(产于北非)
dingo,n.[动] 澳洲野狗
dinoflagellate,"n.[动]腰鞭毛虫(属于腰鞭毛目的原生动物,一种海生单细胞生物)"
dioestrous,adj.[动]间情期的 有间情期的
diphycercal,adj.[动]圆尾鳍的
diploblastic,adj.[动]双胚层的
dipnoan,adj.[动]肺鱼类的n.肺鱼类
distome,n.[动]双盘吸虫
dormice,n.[动] 睡鼠
dorsolateral,adj.[动]背外侧的
dungeness,crab [动]邓杰内斯蟹(北美洲太平洋沿岸的大型可食蟹)
dziggetai,n.[动]骞驴
ebbet,n.[动]绿北螈(产于美国东部的一种普通绿色蝾螈)
ecaudate,adj.[动]无尾的
ecdysis,"n.[动]蜕皮,蜕化"
echidna,"n.[动]单孔目哺乳动物,针鼹鼠"
echinococcus,n.[动]棘球绦虫
echinoderm,n.[动]棘皮类动物
echinoid,"n.[动]海胆纲动物adj.海胆状的,海胆属的"
ectoproct,n.[动] 外肛苔藓虫(属外肛亚纲的水生小动物)
ectotherm,"n.[动] 冷血动物,变温动物"
edentate,"adj.[动]无齿的,贫齿类的n.贫齿类动物"
elasmobranchiate,n.(=elasmobranch)[动]软骨鱼类或纲鱼adj.(=elasmobranch)软骨鱼类或纲的
elaterid,n.[动]叩头虫科adj.[动]叩头虫科的
elk,"n.[动]麋鹿,软鞣粗皮"
ellachick,n.[动]云石鱼
endomixis,"n.[动]内融合,内合(指某些纤毛类原生动物中核间发生的分裂和再组合)"
endopodite,n.[动](甲壳纲动物的)内肢
endoproct,n.[动]内肛动物
endoskeleton,n.[动]内骨骼
endosternite,n.[动]腹内骨
endostracum,n.[动]壳内层
endostyle,n.[动]内柱
endothermic,"adj.吸热(性)的,[动]温血的"
entameba,n.(=endamoeba)[动]内阿米巴属
entamoeba,n.(=endamoeba)[动]内阿米巴属
entellus,n.[动]癯猿
enterocele,n.[动]肠体腔
enterozoa,n.(=entozoa)[动]内寄生虫
enterozoan,n.(=entozoan)[动]内寄生虫
entoplastron,n.[动]内腹甲
entozoa,"n.pl.[动]内寄生虫,内寄生动物(entoyoon的复数形式)"
entozoic,adj.[动]内寄生的
entozoologist,n.[动]内寄生动物学
entozoon,n.[动]体内寄生虫
ephemera,"n.[动]生命极短促之物,蜉蝣"
ephemerid,"n.[动]蜉蝣,蜉蝣目昆虫"
